Interval=	0.00025 s
ExcelDateTime=	4.4825404700274565e+004	2022-09-21 9:42:46.103723
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
0.07175	0.0525	6.674312
0.072	0.0553125	6.656066
0.07225	0.054375	6.637829
0.0725	0.0571875	6.619623
0.07275	0.0575	6.601433
0.073	0.05625	6.583254
0.07325	0.0590625	6.565081
0.0735	0.0615625	6.546875
0.07375	0.0628125	6.528614
0.074	0.0621875	6.510285
0.07425	0.0621875	6.491885
0.0745	0.063125	6.473429
0.07475	0.065	6.454911
0.075	0.063125	6.43634
0.07525	0.065	6.417742
0.0755	0.0653125	6.399113
0.07575	0.0653125	6.380476
0.076	0.0659375	6.361855
0.07625	0.06625	6.343252
0.0765	0.0675	6.324665
0.07675	0.0675	6.30607
0.077	0.068125	6.287466
0.07725	0.0671875	6.268842
0.0775	0.065	6.250202
0.07775	0.0678125	6.231566
0.078	0.0671875	6.212924
0.07825	0.06375	6.194293
0.0785	0.0625	6.175661
0.07875	0.063125	6.156983
0.079	0.0621875	6.138204
0.07925	0.06125	6.119279
0.0795	0.06125	6.100173
0.07975	0.060625	6.080871
0.08	0.059375	6.061525
0.08025	0.0609375	6.042794
0.0805	0.05875	6.025347
0.08075	0.055	6.009396
0.081	0.0575	5.99533
0.08125	0.0565625	5.983489
0.0815	0.053125	5.973089
0.08175	0.0525	5.96297
0.082	0.0515625	5.952758
0.08225	0.0503125	5.942874
0.0825	0.05	5.933778
0.08275	0.0475	5.925185
0.083	0.048125	5.916797
0.08325	0.046875	5.908488
0.0835	0.0490625	5.900231
0.08375	0.046875	5.89202
0.084	0.044375	5.883896
0.08425	0.0465625	5.875921
0.0845	0.0475	5.868125
0.08475	0.0471875	5.86058
0.085	0.0484375	5.853371
0.08525	0.0446875	5.846634
0.0855	0.045625	5.840577
0.08575	0.0459375	5.835274
0.086	0.0459375	5.830793
0.08625	0.0471875	5.82705
0.0865	0.0496875	5.823847
0.08675	0.048125	5.821053
0.087	0.0471875	5.818559
0.08725	0.048125	5.816298
0.0875	0.05	5.814233
0.08775	0.0503125	5.812318
0.088	0.0528125	5.810528
0.08825	0.0525	5.808819
0.0885	0.05	5.807175
0.08875	0.0540625	5.805602
0.089	0.054375	5.804085
0.08925	0.055	5.802641
0.0895	0.05625	5.801288
0.08975	0.056875	5.80002
0.09	0.0571875	5.798863
0.09025	0.0603125	5.797815
0.0905	0.0584375	5.796858
0.09075	0.06	5.795994
0.091	0.0625	5.795187
0.09125	0.064375	5.794423
0.0915	0.064375	5.79368
0.09175	0.0640625	5.79296
0.092	0.0665625	5.792294
0.09225	0.06625	5.791684
0.0925	0.0628125	5.791161
0.09275	0.0646875	5.790778
0.093	0.0625	5.790564
0.09325	0.0675	5.790557
0.0935	0.06625	5.790732
0.09375	0.0640625	5.791076
0.094	0.064375	5.791598
0.09425	0.0640625	5.792229
0.0945	0.063125	5.792942
0.09475	0.0634375	5.793706
0.095	0.0590625	5.794501
0.09525	0.06	5.795355
0.0955	0.060625	5.796268
0.09575	0.0628125	5.79723
0.096	0.06125	5.798218
0.09625	0.0603125	5.799201
0.0965	0.0615625	5.800177
0.09675	0.0590625	5.801123
0.097	0.0584375	5.802055
0.09725	0.059375	5.803004
0.0975	0.055	5.80397
0.09775	0.055625	5.804996
0.098	0.0571875	5.806105
0.09825	0.05625	5.807293
0.0985	0.055625	5.808564
0.09875	0.0553125	5.809902
0.099	0.0534375	5.811297
0.09925	0.053125	5.812753
0.0995	0.053125	5.814262
0.09975	0.05	5.815818
0.1	0.05125	5.817419
0.10025	0.0496875	5.819058
